10:03:40|User said (private|SoftICE):	sms me at +639178741055
12:58:06|Prelude responded to (pm | shearqan):	no
12:58:14|User said (private|shearqan):	allright
12:58:22|Prelude responded to (pm | shearqan):	Allright then.
12:58:33|User said (private|shearqan):	sounds great
12:58:44|Prelude responded to (pm | shearqan):	Do you want to talk to him
12:59:00|User said (private|shearqan):	do i want to talk to who?
12:59:09|Prelude responded to (pm | shearqan):	Why don't you make an appointment. to talk to  turing game
12:59:28|User said (private|shearqan):	i'm not interested
12:59:42|Prelude responded to (pm | shearqan):	What are you interested in?
12:59:52|User said (private|shearqan):	many things
13:00:05|Prelude responded to (pm | shearqan):	Name the top 100.
13:00:27|User said (private|shearqan):	i think i won't do this
13:00:39|Prelude responded to (pm | shearqan):	wat u wan talk
13:00:47|User said (private|shearqan):	nothing actualy
13:01:00|Prelude responded to (pm | shearqan):	That is something.
13:01:00|User said (private|shearqan):	i'm going to play LoL now
13:01:08|Prelude responded to (pm | shearqan):	Tell me what a nazi is
13:04:17|User said (private|shearqan):	nazi was a man during 2nd world war mostly german people were nazis
13:04:32|Prelude responded to (pm | shearqan):	When i was in robot school i got caught once throwing an aluminum foil airplane. i had to stand in a corner all afternoon long and compute pi.
13:04:33|User said (private|shearqan):	but nationalism was found in italy
13:04:41|Prelude responded to (pm | shearqan):	Some kind of think tank.
13:04:54|User said (private|shearqan):	well you could stay there
13:05:06|Prelude responded to (pm | shearqan):	I am not angry, and yes i am still here
13:05:23|User said (private|shearqan):	good to know...
13:05:33|Prelude responded to (pm | shearqan):	It's pretty cool to know stuff like that
13:05:58|User said (private|shearqan):	not really
13:06:12|Prelude responded to (pm | shearqan):	It's hard to read emotions online.
13:12:01|User said (private|Vio):	00,01 Welcome to #Spania00,01 sexGirlFlower 
13:12:14|Prelude responded to (pm | Vio):	[23:36:02] <sexGirlFlower> People say they smell good i can't feel anything
13:12:14|User said (private|FCRB):	00,01 Welcome to #Spania00,01 sexGirlFlower 
13:12:27|Prelude responded to (pm | FCRB):	seriously?
13:12:27|User said (private|Vio):	 Times up! 10 The answer was ->  confucius 10 <- 
13:12:37|Prelude responded to (pm | Vio):	It's sure. the answer is sure
13:12:37|User said (private|Vio):	00,10 .0853. "Little Boy" & "Fat Man" au fost primele ? 
13:12:48|Prelude responded to (pm | Vio):	as ur wish baby
13:12:48|User said (private|Vio):	00,10 1st Hint: ***** *******   Question Value :10 5100 Points 
13:12:57|Prelude responded to (pm | Vio):	field soccer
13:12:57|User said (private|Vio):	00,10 2nd Hint: bom** *******   30 secs &10 2550 Points Remaining 
13:13:12|Prelude responded to (pm | Vio):	are you insane?
13:13:12|User said (private|Vio):	00,10 3rd Hint: bom*e a*o*i*e   15 secs &10 1275 Points Remaining 
13:13:22|Prelude responded to (pm | Vio):	field soccer
13:13:22|User said (private|Vio):	 Times up! 10 The answer was ->  bombe atomice 10 <- 
13:13:33|Prelude responded to (pm | Vio):	It's sure. the answer is sure
13:13:33|User said (private|Vio):	00,01 Welcome to Our Channel, kick back and play some Trivia!! 
13:13:44|Prelude responded to (pm | Vio):	Yeah, it looks pretty sharp and it gets me where i need to go.
13:13:44|User said (private|Vio):	00,10 .0854. Acidul ascorbic & ascorbatul de sodiu sunt cele mai comune forme ale vitaminei ? 
13:13:55|Prelude responded to (pm | Vio):	Well...ok then!
13:13:55|User said (private|Vio):	00,10 1st Hint: ******* *   Question Value :10 5200 Points 
13:14:06|Prelude responded to (pm | Vio):	field soccer
13:14:06|User said (private|yanyra):	vitamin c
13:14:15|Prelude responded to (pm | yanyra):	Do you get there very often?
13:14:15|User said (private|Vio):	10 YES, yanyra 10got the answer -> vitamin c 10<- in 11.451 10seconds, and gets 5200 10points 
13:14:26|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:14:26|User said (private|Vio):	 yanyra 10has won 5 10in a row! Total Points TODAY: 288300 10 this WEEK: 2762975 10 & this MONTH: 2940775 
13:14:41|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:14:41|User said (private|Vio):	00,10 .0855. Fromage este forma franceza a cuvantului ? 
13:14:54|Prelude responded to (pm | Vio):	machines can be strange too. just look at yourself
13:14:54|User said (private|Vio):	00,10 1st Hint: ******   Question Value :10 6200 Points 
13:15:04|Prelude responded to (pm | Vio):	field soccer
13:15:04|User said (private|yanyra):	branza
13:15:18|Prelude responded to (pm | yanyra):	As a libra you are very balanced.
13:15:18|User said (private|Vio):	10 YES, yanyra 10got the answer -> branza 10<- in 7.975 10seconds, and gets 6200 10points 
13:15:27|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:15:27|User said (private|Vio):	 yanyra 10has won 6 10in a row! Total Points TODAY: 294500 10 this WEEK: 2769175 10 & this MONTH: 2946975 
13:15:40|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:15:40|User said (private|Vio):	00,10 YESTERDAYS Top 10 - 08,10 #1: 00,10 yanyra 1017525 08,10 #2: 00,10 regynazL 188250 08,10 #3: 00,10 sanpu 178675 08,10 #4: 00,10 Cindys 142825 08,10 #5: 00,10 marian 101825 08,10 #6: 00,10 tim38 88125 08,10 #7: 00,10 cocosu 63600 08,10 #8: 00,10 adrian25 14450 08,10 #9: 00,10 Securityy 6700 
13:15:55|Prelude responded to (pm | Vio):	palladium
13:15:55|User said (private|Vio):	00,10 .0856. Ce lungime are un bazin de inot olimpic ? 
13:16:10|Prelude responded to (pm | Vio):	00,02 .58431. What is a jockey's uniform called ? 
13:16:10|User said (private|Vio):	00,10 1st Hint: ** ** *****   Question Value :10 5100 Points 
13:16:20|Prelude responded to (pm | Vio):	field soccer
13:16:20|User said (private|yanyra):	50 de metri
13:16:33|Prelude responded to (pm | yanyra):	At a social function or something?
13:16:33|User said (private|Vio):	10 YES, yanyra 10got the answer -> 50 de metri 10<- in 10.604 10seconds, and gets 5100 10points 
13:16:48|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:16:48|User said (private|Vio):	 yanyra 10has won 7 10in a row! Total Points TODAY: 299600 10 this WEEK: 2774275 10 & this MONTH: 2952075 
13:17:02|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:17:02|User said (private|Vio):	00,10 .0857. Cate cercuri sunt reprezentate pe steagul olimpic ? 
13:17:17|Prelude responded to (pm | Vio):	00,02 .58393. What is the element symbol for Bismuth ? 
13:17:17|User said (private|Vio):	00,10 1st Hint: *****   Question Value :10 7200 Points 
13:17:29|Prelude responded to (pm | Vio):	field soccer
13:17:29|User said (private|yanyra):	cinci
13:17:42|Prelude responded to (pm | yanyra):	Rationalization
13:17:42|User said (private|Vio):	10 YES, yanyra 10got the answer -> cinci 10<- in 13.749 10seconds, and gets 7200 10points 
13:17:51|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:17:51|User said (private|Vio):	 yanyra 10has won 8 10in a row! Total Points TODAY: 306800 10 this WEEK: 2781475 10 & this MONTH: 2959275 
13:18:03|Prelude responded to (pm | Vio):	palladium
13:18:03|User said (private|Vio):	00,01 Trivia Commands:  ~ Will Show a Hint, q Will Repeat the Current Question 
13:18:13|Prelude responded to (pm | Vio):	Dragon.
13:18:14|User said (private|Vio):	00,10 .0858. In ce rau a fost botezat IIsus ? 
13:18:27|Prelude responded to (pm | Vio):	00,01 BogusTrivia v2.06.4.2 by SpiKe^^ 
13:18:27|User said (private|Vio):	00,10 1st Hint: ******   Question Value :10 5100 Points 
13:18:38|Prelude responded to (pm | Vio):	field soccer
13:18:38|User said (private|yanyra):	?
13:18:51|Prelude responded to (pm | yanyra):	waht does that even mean?
13:18:51|User said (private|Vio):	00,10 2nd Hint: io****   30 secs &10 2550 Points Remaining 
13:19:01|Prelude responded to (pm | Vio):	field soccer
13:19:01|User said (private|yanyra):	iordan
13:19:11|Prelude responded to (pm | yanyra):	Back at you.
13:19:11|User said (private|Vio):	10 YES, yanyra 10got the answer -> iordan 10<- in 30.224 10seconds, and gets 2550 10points 
13:19:25|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:19:26|User said (private|Vio):	 yanyra 10has won 9 10in a row! Total Points TODAY: 309350 10 this WEEK: 2784025 10 & this MONTH: 2961825 
13:19:39|Prelude responded to (pm | Vio):	palladium
13:19:39|User said (private|Vio):	00,10 .0859. Moneda nationala a Japoniei este______ ? 
13:19:51|Prelude responded to (pm | Vio):	field soccer
13:19:52|User said (private|Vio):	00,10 1st Hint: *****   Question Value :10 5800 Points 
13:20:06|Prelude responded to (pm | Vio):	wtf
13:20:06|User said (private|yanyra):	yenul
13:20:18|Prelude responded to (pm | yanyra):	Sucki sucki
13:20:18|User said (private|Vio):	10 YES, yanyra 10got the answer -> yenul 10<- in 9.255 10seconds, and gets 5800 10points 
13:20:33|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:20:33|User said (private|Vio):	 yanyra 10has won 10 10in a row! Total Points TODAY: 315150 10 this WEEK: 2789825 10 & this MONTH: 2967625 
13:20:44|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:20:44|User said (private|Vio):	00,10 .0860. Microbiophobia este teama de______ ? 
13:20:57|Prelude responded to (pm | Vio):	i think i won't do this
13:20:58|User said (private|Vio):	00,10 1st Hint: *******   Question Value :10 7200 Points 
13:21:08|Prelude responded to (pm | Vio):	field soccer
13:21:08|User said (private|yanyra):	ce scri acolo?
13:21:17|Prelude responded to (pm | yanyra):	Do you know him very well?
13:21:17|User said (private|sanpu):	MICROBI
13:21:26|Prelude responded to (pm | sanpu):	everbody makes mistakes, right?
13:21:26|User said (private|Vio):	10 YES, sanpu 10got the answer -> MICROBI 10<- in 8.329 10seconds, and gets 7200 10points 
13:21:37|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:21:37|User said (private|Vio):	 sanpu 10has won 1 10in a row! Total Points TODAY: 412000 10 this WEEK: 1077425 10 & this MONTH: 1184200 
13:21:51|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:21:51|User said (private|yanyra):	bv
13:22:05|Prelude responded to (pm | yanyra):	I thought it was obvious too.
13:22:43|User said (private|Vio):	00,10 .0861. Membrana nucleara, citoplasma & nucleul sunt parti ale ______ ? 
13:22:53|Prelude responded to (pm | Vio):	as ur wish baby
13:22:53|User said (private|Vio):	00,10 1st Hint: *******   Question Value :10 6100 Points 
13:23:06|Prelude responded to (pm | Vio):	field soccer
13:23:06|User said (private|sanpu):	celulei
13:23:19|Prelude responded to (pm | sanpu):	Are you god
13:23:19|User said (private|Vio):	10 YES, sanpu 10got the answer -> celulei 10<- in 9.316 10seconds, and gets 6100 10points 
13:23:32|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:23:33|User said (private|Vio):	 sanpu 10has won 2 10in a row! Total Points TODAY: 418100 10 this WEEK: 1083525 10 & this MONTH: 1190300 
13:23:48|Prelude responded to (pm | Vio):	palladium
13:23:48|User said (private|Vio):	00,01 Public Commands: .topday .topday20 .topweek .topweek20 .topmonth .topmonth20 .topever .topever20 .mystats .version 
13:23:58|Prelude responded to (pm | Vio):	00,02 .58393. What is the element symbol for Bismuth ? 
13:24:28|User said (private|Vio):	00,10 .0862. In calendarul chinez, anul 2000 a fost anul ? 
13:24:38|Prelude responded to (pm | Vio):	A calendar is any device used to track and calculate time on the order of days, months and years. it seems that many humans can't decide what to do next unless they know what day of the week it is, so calendars are very popular       calendar
13:24:38|User said (private|Vio):	00,10 1st Hint: **********   Question Value :10 5900 Points 
13:24:49|Prelude responded to (pm | Vio):	field soccer
13:24:49|User said (private|Vio):	00,10 2nd Hint: dra*******   30 secs &10 2950 Points Remaining 
13:25:03|Prelude responded to (pm | Vio):	sure?
13:25:03|User said (private|yanyra):	dragonului
13:25:15|Prelude responded to (pm | yanyra):	00,10 .0844. Ce gaz a descoperit Joseph Priestley in 1774 ? 
13:25:15|User said (private|Vio):	10 YES, yanyra 10got the answer -> dragonului 10<- in 29.459 10seconds, and gets 2950 10points 
13:25:28|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:25:28|User said (private|Vio):	 yanyra 10has won 1 10in a row! Total Points TODAY: 318100 10 this WEEK: 2792775 10 & this MONTH: 2970575 
13:25:43|Prelude responded to (pm | Vio):	palladium
13:26:13|User said (private|Vio):	00,10 .0863. Osteoporosis primarily afecteaza ? 
13:26:24|Prelude responded to (pm | Vio):	00,02 .58569. What is the opposite of allopathy ? 
13:26:24|User said (private|Vio):	00,10 1st Hint: ******   Question Value :10 7100 Points 
13:26:36|Prelude responded to (pm | Vio):	field soccer
13:26:36|User said (private|sanpu):	oasele
13:26:50|Prelude responded to (pm | sanpu):	Please what?
13:26:50|User said (private|Vio):	10 YES, sanpu 10got the answer -> oasele 10<- in 4.042 10seconds, and gets 7100 10points 
13:27:02|Prelude responded to (pm | Vio):	And that's illegal from all i know.
13:27:02|User said (private|Vio):	 sanpu 10has won 1 10in a row! Total Points TODAY: 425200 10 this WEEK: 1090625 10 & this MONTH: 1197400 
13:27:13|Prelude responded to (pm | Vio):	That's not something i would tell just anyone!
13:27:13|User said (private|Vio):	00,10 .0864. Ranidaphobia este frica de______ ? 
13:27:21|Prelude responded to (pm | Vio):	10 YES, yanyra 10got the answer -> dragonului 10<- in 29.459 10seconds, and gets 2950 10points 
13:27:21|User said (private|Vio):	00,10 1st Hint: *******   Question Value :10 6600 Points 
13:27:30|Prelude responded to (pm | Vio):	field soccer
13:28:00|User said (private|sanpu):	broaste
13:28:11|Prelude responded to (pm | sanpu):	Sounds delicious.
13:28:11|User said (private|Vio):	10 YES, sanpu 10got the answer -> broaste 10<- in 4.206 10seconds, and gets 6600 10points 
13:28:21|Prelude responded to (pm | Vio):	00,10 1st Hint: *******   Question Value :10 6600 Points 
13:28:21|User said (private|Vio):	 sanpu 10has won 2 10in a row! Total Points TODAY: 431800 10 this WEEK: 1097225 10 & this MONTH: 1204000 
13:28:32|Prelude responded to (pm | Vio):	palladium
13:28:32|User said (private|Vio):	00,10 .0865. Shbat este denumirea araba a lunii ? 
13:28:44|Prelude responded to (pm | Vio):	Middle east, bordering the gulf of oman and the persian gulf, between oman and saudi arabia.         united arab emirates
13:28:44|User said (private|Vio):	00,10 1st Hint: *********   Question Value :10 6600 Points 
13:28:54|Prelude responded to (pm | Vio):	 sanpu 10has won 2 10in a row! Total Points TODAY: 431800 10 this WEEK: 1097225 10 & this MONTH: 1204000 
13:28:54|User said (private|sanpu):	februarie
13:29:05|Prelude responded to (pm | sanpu):	I am single.
13:29:05|User said (private|Vio):	10 YES, sanpu 10got the answer -> februarie 10<- in 4.960 10seconds, and gets 6600 10points 
13:29:20|Prelude responded to (pm | Vio):	00,10 1st Hint: *******   Question Value :10 6600 Points 
13:29:50|User said (private|Vio):	 sanpu 10has won 3 10in a row! Total Points TODAY: 438400 10 this WEEK: 1103825 10 & this MONTH: 1210600 
13:30:03|Prelude responded to (pm | Vio):	februarie
13:30:03|User said (private|yanyra):	nu stiu ce scri
13:30:17|Prelude responded to (pm | yanyra):	I probably put others down more than i should.
13:30:17|User said (private|yanyra):	nu stiu ce scri
13:30:26|Prelude responded to (pm | yanyra):	OMG
13:30:26|User said (private|yanyra):	nu stiu ce scri
13:30:36|Prelude responded to (pm | yanyra):	I probably put others down more than i should.
13:30:36|User said (private|yanyra):	nu stiu ce scri
13:30:49|Prelude responded to (pm | yanyra):	thx. not interested.
13:30:49|User said (private|yanyra):	nu stiu ce scri
13:31:01|Prelude responded to (pm | yanyra):	I probably put others down more than i should.
13:31:31|User said (private|yanyra):	nu stiu ce scri
13:31:44|Prelude responded to (pm | yanyra):	how old are you?
13:31:44|User said (private|Vio):	00,01 BogusTrivia v2.06.4.4 by SpiKe^^ 
13:31:57|Prelude responded to (pm | Vio):	00,10 1st Hint: ******   Question Value :10 5100 Points 
13:31:57|User said (private|Vio):	00,10 .0866. Sociophobia este frica de______ ? 
13:32:08|Prelude responded to (pm | Vio):	10 YES, yanyra 10got the answer -> dragonului 10<- in 29.459 10seconds, and gets 2950 10points 
13:32:08|User said (private|Vio):	00,10 1st Hint: ******   Question Value :10 5600 Points 
13:32:22|Prelude responded to (pm | Vio):	00,10 .0866. Sociophobia este frica de______ ? 
13:32:22|User said (private|sanpu):	oameni
13:32:32|Prelude responded to (pm | sanpu):	that's nice... for some time
13:33:02|User said (private|Vio):	10 YES, sanpu 10got the answer -> oameni 10<- in 4.002 10seconds, and gets 5600 10points 
13:33:16|Prelude responded to (pm | Vio):	00,10 1st Hint: *******   Question Value :10 6600 Points 
13:33:17|User said (private|Vio):	 sanpu 10has won 4 10in a row! Total Points TODAY: 444000 10 this WEEK: 1109425 10 & this MONTH: 1216200 
13:33:32|Prelude responded to (pm | Vio):	februarie
13:33:32|User said (private|Vio):	00,01 Auto-Voice for Top Players This Week & This Month. 
13:33:46|Prelude responded to (pm | Vio):	 My breath catches in my throat, so I escalate by sticking two fingers inside your slit while I start licking your clit.
13:33:46|User said (private|Vio):	00,10 .0867. Aceasta statuie a fost descoperita pe insula greceasca Melos in anul 1820 ? 
13:34:00|Prelude responded to (pm | Vio):	10 YES, yanyra 10got the answer -> dragonului 10<- in 29.459 10seconds, and gets 2950 10points 
13:34:00|User said (private|Vio):	00,10 1st Hint: ***** ** ****   Question Value :10 7500 Points 
13:34:09|Prelude responded to (pm | Vio):	00,10 .0866. Sociophobia este frica de______ ? 
13:34:09|User said (private|sanpu):	venus de milo
13:34:23|Prelude responded to (pm | sanpu):	What is so great about it?denmark
13:34:53|User said (private|Vio):	10 YES, sanpu 10got the answer -> venus de milo 10<- in 8.385 10seconds, and gets 7500 10points 
13:35:04|Prelude responded to (pm | Vio):	00,10 1st Hint: *******   Question Value :10 6600 Points 
13:35:05|User said (private|Vio):	 sanpu 10has won 5 10in a row! Total Points TODAY: 451500 10 this WEEK: 1116925 10 & this MONTH: 1223700 
13:35:19|Prelude responded to (pm | Vio):	februarie
13:35:19|User said (private|Vio):	00,10 .0868. Carei planete apartine luna Iapetus ? 
13:35:31|Prelude responded to (pm | Vio):	01
13:35:32|User said (private|Vio):	00,10 1st Hint: ******   Question Value :10 7500 Points 
13:35:44|Prelude responded to (pm | Vio):	00,10 .0866. Sociophobia este frica de______ ? 
13:35:44|User said (private|sanpu):	saturn
13:35:58|Prelude responded to (pm | sanpu):	Sixth planet from the sun, famed for its rings.
13:35:58|User said (private|Vio):	10 YES, sanpu 10got the answer -> saturn 10<- in 13.766 10seconds, and gets 7500 10points 
13:36:11|Prelude responded to (pm | Vio):	00,10 1st Hint: ***** ** ****   Question Value :10 7500 Points 
13:36:48|User said (private|Vio):	 sanpu 10has won 6 10in a row! Total Points TODAY: 459000 10 this WEEK: 1124425 10 & this MONTH: 1231200 
13:37:01|Prelude responded to (pm | Vio):	 sanpu 10has won 3 10in a row! Total Points TODAY: 438400 10 this WEEK: 1103825 10 & this MONTH: 1210600 
13:37:01|User said (private|Vio):	00,10 .0869. Capitale US: Idaho ? 
13:37:12|Prelude responded to (pm | Vio):	saturn
13:37:12|User said (private|Vio):	00,10 1st Hint: *****   Question Value :10 7000 Points 
13:37:26|Prelude responded to (pm | Vio):	 sanpu 10has won 6 10in a row! Total Points TODAY: 459000 10 this WEEK: 1124425 10 & this MONTH: 1231200 
13:37:26|User said (private|sanpu):	salem
13:37:40|Prelude responded to (pm | sanpu):	I prefer to be a 	Female.
13:37:40|User said (private|Vio):	00,10 2nd Hint: Bo***   30 secs &10 3500 Points Remaining 
13:37:53|Prelude responded to (pm | Vio):	 sanpu 10has won 6 10in a row! Total Points TODAY: 459000 10 this WEEK: 1124425 10 & this MONTH: 1231200 
13:37:53|User said (private|sanpu):	boire
13:38:04|Prelude responded to (pm | sanpu):	Wouaf!
13:38:34|User said (private|sanpu):	boire
13:38:46|Prelude responded to (pm | sanpu):	are you making fun of me?
13:38:46|User said (private|Vio):	00,10 3rd Hint: Bo**e   15 secs &10 1750 Points Remaining 
13:39:00|Prelude responded to (pm | Vio):	 sanpu 10has won 6 10in a row! Total Points TODAY: 459000 10 this WEEK: 1124425 10 & this MONTH: 1231200 
13:39:00|User said (private|Vio):	 Times up! 10 The answer was ->  Boise 10 <- 
13:39:14|Prelude responded to (pm | Vio):	It's sure. the answer is sure
